"MODEL","SCENARIO","REGION","VARIABLE","UNIT",2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
"AIM/CGE","SSP1-19","R5.2LAM","Agricultural Production|Crops|Non-Energy","million t DM/yr",377.8855,406.77549999999997,457.5858,484.303,511.3909,516.5422,503.1741,481.0407,449.66650000000004,413.35630000000003,370.69169999999997
"AIM/CGE","SSP1-19","R5.2LAM","Agricultural Production|Livestock","million t DM/yr",32.705200000000005,34.9683,39.0299,41.9658,44.0713,44.9062,44.401399999999995,43.0779,41.0152,38.2868,34.7654
"AIM/CGE","SSP1-19","R5.2LAM","Capacity|Electricity","GW",265.7052,300.3786,382.557,619.2839,1008.5288,1370.0320000000002,1649.2784,1731.3611,1738.3087,1687.0113999999999,1622.0956
"AIM/CGE","SSP1-19","R5.2LAM","Capacity|Electricity|Biomass","GW",4.2919,4.4103,4.6323,7.6386,22.3249,26.6182,36.4768,40.8343,40.0308,39.4244,38.0889
"AIM/CGE","SSP1-19","R5.2LAM","Capacity|Electricity|Coal","GW",10.2091,12.7537,17.4247,8.0084,4.9226,5.05,2.2369,1.332,0.8133,0.6658999999999999,0.4609
"AIM/CGE","SSP1-19","R5.2LAM","Capacity|Electricity|Gas","GW",36.747899999999994,43.502700000000004,56.8397,56.2626,36.95269999999999,35.4209,22.298199999999998,16.544700000000002,12.2625,11.541,9.319
"AIM/CGE","SSP1-19","R5.2LAM","Capacity|Electricity|Geothermal","GW",1.5781,1.6589,2.0222,2.4651,3.0049,3.663,4.4651,5.3181,6.0646,6.6876,7.1291
"AIM/CGE","SSP1-19","R5.2LAM","Capacity|Electricity|Hydro","GW",182.1163,202.1531,249.3723,300.75879999999995,320.7803,281.19689999999997,311.2806,329.799,334.0444,325.02560000000005,312.7378
"AIM/CGE","SSP1-19","R5.2LAM","Capacity|Electricity|Nuclear","GW",4.4243,5.4249,10.2401,18.2284,18.1711,15.3207,14.656099999999999,13.441199999999998,11.838999999999999,10.0232,8.4177
"AIM/CGE","SSP1-19","R5.2LAM","Capacity|Electricity|Oil","GW",26.154799999999998,29.1604,35.2551,34.9891,22.7105,20.895599999999998,12.333200000000001,8.8908,6.4494,6.0031,4.7966
